id,Name,titleProject_id,class,score,login,password
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,xo3Ee1vc
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,9HiYy10O
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,TUtCLReP
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,RGVmDeX3
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,8snmaBHX
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,FIUcOOve
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,AHZG04LR
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,yttvMFL6
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,1Ub4KSqY
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,XFvV1UWO
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,woyEyiBN
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,ocrKzzZp
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,XhXRPIOK
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,54KicHYa
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,DYx1O55C
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,ysvrt3F6
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,NlgNue1f
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,taXDzUuH
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,lPUBy9Vn
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,KuQUvB24
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,iZk5h6KZ
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,t4xdUIsX
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,z3n7tdlF
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,xYSpeAj6
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,Q3bobiXb
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,d0vtzzM6
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,9dVwG8vo
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,WeKcRSEM
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,j0GQYwZJ
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,Qx8mqwTP
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,EUQhSJf7
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,VG0sOYWG
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,tOGw7rKJ
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,Qm52EYKm
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,LaNv1z5B
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,d7ejSC8G
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,hAkj6Pyh
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,9Iu6saq3
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,x6tWigRh
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,xK0d4rGb
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,UuJd96nV
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,LeAPWgA1
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,mU4koThA
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,ijQrhQJY
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,XjLDnBgo
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,vzm7NRqt
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,xB9zLIUH
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,JlxJjERT
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,I2ASbeiS
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,UNDJmktZ
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,KxjNm85X
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,HdANHUmS
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,SfRCRvXx
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,TDIs8gFC
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,yOTQNIwS
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,DOX7uuts
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,KGgxFgu2
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,2IjWcAyw
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,86mKbkFj
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,8RJ6TXJu
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,15tJeyKk
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,dIt6B5AP
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,TJ6GGYWb
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,NtkIRiF8
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,IamLXtdb
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,HivwWOx9
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,WPKxnAYh
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,YsqqAwrq
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,fzOovyhJ
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,TKfjXVcn
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,rFmw6BLW
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,GDesYjEq
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,3TlcVGot
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,iYEhEE0V
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,yOMXXk44
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,RAMfg5sN
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,oNsYZ1N4
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,XwET6fP0
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,UqDC4q6o
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,bIigoomx
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,U9KfQzFi
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,DQXGWpDG
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,cycVjhCp
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,vKeZRiAS
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,g18nPv6N
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,NZHAI9tr
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,r1fAP8eN
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,VXrGTXik
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,rUpcuNjk
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,znPGYGdr
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,QG6WnEXD
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,hN8n45Lw
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,MjTjsjaN
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,idMtt8bi
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,YRhXHcVD
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,TgDoQFTX
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,IoSup2Pn
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,qTm3UP01
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,mk0vt8MA
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,QUl0MaoK
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,9tqpokjE
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,iTif01bb
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,zmte5DAt
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,o9IGU4UF
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,qZifR7Xt
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,hETRd0DJ
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,DrVBRCy8
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,yeArGniR
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,uM5tw8dL
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,UYSHza7E
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,TtC3PVBy
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,fOXHfSul
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,c7YX87mF
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,dv8yqrtH
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,kMVKDOYH
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,FwvwMH4s
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,EYRlY5HS
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,UfdBRzSY
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,DeoIjyVe
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,PSuVPWcP
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,8PyHQRKk
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,9Q5p5NKS
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,bh6DoqLK
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,1FZleyou
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,yKTdwPKx
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,TAJ0MqsY
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,cNWbto6y
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,fbZnAK5N
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,mD3oUgsq
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,swzMNA9p
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,U0tvlDrN
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,iSQcDlas
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,02c7Nooj
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,iEwutGEI
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,CvKeASxI
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,xp7wtmrb
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,yxKeX32O
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,BPrxdupd
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,qd1G2OLM
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,vOqLhbOG
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,1PaKlt9a
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,1nORnL3K
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,mdgHPXkO
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,a6SS71Zl
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,Pqbjwp16
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,TRAiITxT
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,EApgcvQ8
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,f7h5TNOH
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,9Tc54Xwk
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,jelkoX5J
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,VSvH8HzU
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,3bIwtYwq
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,cUzaKTPI
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,pXvFpHav
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,HMsGMkWe
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,pu7V6t5J
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,pKMnpQvn
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,ax1bOv1a
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,xuHtltrZ
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,X7OFyeM3
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,81MqXXef
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,VD5fvtQ3
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,GWdHZ4Rw
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,G12d7VMv
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,lyStXgWI
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,7wTUSROY
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,dXjw0gYE
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,lsDbF0DF
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,FE5j3Ejv
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,6N0vMDuI
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,rrBpTfQ7
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,cuPFv2Hf
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,M7lJdySQ
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,HzZQkk1c
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,WWdqUvqY
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,RKD23roT
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,WIRPZaCM
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,bbqsNMJr
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,0Ne028NZ
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,ZA4sAj2k
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,IbDC6OoG
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,2hzJJLYM
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,02zOISRI
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,LXQ4VjMv
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,FzXBcLBF
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,F62AbXMG
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,GHO9Ks5n
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,aJKRYDzM
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,urAxKDKv
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,xett05j4
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,1tNN45vl
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,5iJMW6z1
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,auhFM1Sh
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,c7XkCjAv
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,AmhSuq0m
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,X8JZwgO4
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,KEcMKCPe
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,dEkyAuJp
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,ImIg7TEX
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,7BfggKvP
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,sXwCXSrr
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,vuoahVgv
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,btKFR5Ca
278,Углова Галина Романовна,260,9г,3,Углова_ГР,6j6HS3aE
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,QbqAbmKF
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,hmqMK0jP
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,9IbAeiC2
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,JsGPAROT
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,h6LSEvrP
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,la1gteSs
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,pMw1X8tX
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,Fo5X16FF
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,ZYqJNZee
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,t9BFrZmC
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,Sj5Pgtck
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,hy50SCLZ
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,H12F1mPQ
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,CLmoRLse
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,kGeQB6HH
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,zSLX9DMc
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,GyGIUsH9
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,Tqlu54et
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,RgHORt9b
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,trRWZozj
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,EyyEuqmj
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,AqW3NK6u
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,nhvC3qZ1
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,nZDS1UT3
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,lYo1qwp1
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,cjPbixJD
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,PGaFmsB8
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,z1xNhhU5
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,nea7qaBa
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,G4Pt1lAu
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,tpuXljyI
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,Chb6Hlyp
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,ZXHqN0YF
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,VhQ4ZAhq
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,GnD6V0BB
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,fpyo2hfs
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,DFJaxkAF
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,cGuxqJD1
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,w8bgxNXE
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,Ang24dEI
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,e2EyKi0D
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,yRIDOrbC
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,YtNvO5dM
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,eQxmXkbr
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,v5usy02v
