id,Name,titleProject_id,class,score
35362923,Голюков Денис Сергеевич,62,11б,4
533472206,Хлиманкова Надежда Валерьевна,461,10б,3
643873057,Кулаженков Алексей Олегович,367,10в,2
300981405,Бутукин Владимир Адамович,221,7х,5
229403110,Поддуев Леонид Олегович,149,9х,4
191948130,Ревцев Василий Павлович,360,9х,5
7283770,Старокожев Артём Юрьевич,46,8д,3
835335634,Светошев Максим Михаилович,321,10х,2
86762457,Старынина Кристина Федоровна,266,9д,3
117414779,Востров Дмитрий Денисович,282,9г,3
470780499,Бураханова Анастасия Леонидовна,16,8г,2
747765980,Понизов Виктор Кириллович,214,11и,5
651303628,Суздалев Валерий Алексеевич,66,11т,5
371603223,Колендин Дмитрий Алексеевич,153,10в,4
92112067,Сулькова Екатерина Андреевна,325,8и,4
282938625,Аржевитова Надежда Федоровна,242,10в,2
354816349,Крассов Валерий Олегович,201,8х,5
605220152,Сонураева Инна Андреевна,450,9т,3
909167109,Пашин Роман Вадимович,204,10д,2
515013100,Фичкина Евгения Федоровна,29,11д,3
306118950,Свилин Олег Виталиевич,123,8в,2
267029415,Рогоцкий Андрей Адамович,142,9в,2
392677753,Ахантьев Игорь Валериевич,80,10д,5
936458262,Сочиникова Ксения Кирилловна,100,10д,2
247910228,Остюков Артур Романович,329,11и,3
122332375,Брюкина Оксана Викторовна,98,8в,5
25947219,Кузовенков Игорь Юрьевич,322,9г,None
185437953,Калухов Тарас Иванович,207,11а,3
788807459,Батыров Пётр Виталиевич,227,7и,3
865554982,Озрина Катерина Валерьевна,147,10а,4
831329919,Декалова Полина Леонидовна,470,11д,5
236785235,Лосицкий Владимир Кириллович,369,9т,5
772482094,Магнусов Пётр Максимович,437,7и,5
75713643,Лавренков Михаил Василиевич,188,9б,2
842814486,Шушкалова Вероника Алексеевна,411,8т,5
664389895,Бороданова Маргарита Дмитриевна,118,7г,5
780418554,Циркина Виолетта Федоровна,231,9г,2
251007699,Болохина Екатерина Андреевна,194,11д,3
165451018,Чукалова Дарья Валерьевна,20,10г,4
323227435,Беловолов Степан Петрович,222,9д,2
209150904,Зудейкина Вероника Ивановна,166,8и,3
24326865,Макунова Мария Борисовна,47,9в,5
615553713,Верзанский Геннадий Андреевич,497,7д,5
384995601,Алтубин Ярослав Леонидович,414,10г,5
883414448,Аузин Игорь Алексиевич,435,8х,5
507822393,Калыгин Степан Тимофеевич,353,8и,2
829598361,Дурныгина Полина Игоревна,72,8и,2
832609994,Антюфеева Александра Вадимовна,347,8и,2
960925893,Лощинский Борис Романович,210,10б,3
767551411,Ходорков Евгений Виталиевич,344,9г,5
42916297,Кафорин Федор Данилович,427,10д,3
724265680,Косынская Алиса Дмитриевна,40,9в,3
8244909,Беремцев Артём Антонович,434,11т,2
346145487,Влянская Мария Андреевна,490,7т,4
772688770,Мыгеева Лиза Василевна,280,8в,5
277162252,Акутникова Мария Алексеевна,173,11в,2
586456366,Карябкин Константин Максимович,89,7и,2
433217109,Прилепина Яна Максимовна,30,10в,5
964649479,Ведищев Никита Георгиевич,365,7и,5
650077838,Самчева Вероника Борисовна,287,10г,3
523472863,Пирцхалова Карина Леонидовна,452,10г,5
721694374,Павлочев Денис Борисович,432,11д,5
843741928,Арашкова Екатерина Евгеньевна,356,8х,None
516133281,Байсарова Людмила Василевна,215,11и,2
768706771,Кудекина Зинаида Игоревна,250,10и,3
54144127,Дерналов Виталий Викторович,1,9г,4
322943570,Сазинова Галина Романовна,61,9и,3
341713637,Остаченова Марина Эдуардовна,229,9т,5
902206522,Битюкова Яна Егоровна,488,9и,4
737417706,Иваницкий Константин Борисович,232,8д,5
884300083,Белянский Владислав Игоревич,74,11б,5
666830894,Баранкин Артём Алексеевич,382,9т,2
703707754,Шкабанова Софья Вадимовна,499,9х,4
967557399,Полозлов Денис Адамович,155,8т,3
354967024,Жунина Светлана Михайловна,162,8в,3
170816773,Пантыкин Борис Игоревич,245,9х,2
585939869,Доутова Марина Богдановна,189,11х,2
396947181,Трещалова Яна Андреевна,330,8б,3
909041111,Ивашечкин Александр Данилович,390,10т,4
192721225,Мазьянова Инна Богдановна,416,11в,4
3952096,Корогев Николай Евгеньевич,184,8б,5
163487128,Заидова Галина Максимовна,88,9т,4
279900447,Рамхин Кирилл Алексиевич,459,9х,4
121467085,Кизбабаев Эдуард Фёдорович,415,11т,2
646737201,Соурчаков Ярослав Валериевич,268,8б,2
322359815,Мотяшева Алена Михайловна,404,7т,2
718612942,Горшкова Наталия Яковлевна,340,11а,2
967881797,Зябрицкий Игорь Виталиевич,332,7а,5
334880362,Шельдяев Игорь Юриевич,97,7д,5
820119816,Шмелькин Максим Викторович,483,9т,5
559025774,Жалкин Алексей Алексеевич,43,7а,3
137769698,Худасов Денис Максимович,70,10д,2
166501411,Швичкова Наталья Эдуардовна,398,7г,4
846501235,Едская Жанна Валерьевна,436,11в,4
598459220,Поморзина Полина Евгеньевна,122,7д,4
487852863,Будачева Кира Олеговна,55,11х,4
137306699,Молкаев Василий Валериевич,216,8д,2
743017680,Яцынин Константин Тимофеевич,285,7г,2
754566383,Маховиков Василий Петрович,391,7х,4
602670191,Шаметова Евгения Вадимовна,463,7а,2
955937507,Законнова Жанна Евгеньевна,442,11и,None
872853593,Перчихин Аркадий Тимофеевич,164,10т,3
298558127,Бурдасова Ксения Игоревна,203,9а,3
151235,Киссин Степан Иванович,251,7х,5
928871983,Вапилина Мария Егоровна,77,7д,2
483117842,Сигутина Дарья Федоровна,458,7б,2
659081569,Сошьяков Альберт Фёдорович,17,7т,4
97989052,Лугахина Клара Вадимовна,419,8в,4
952447658,Логецкий Анатолий Виталиевич,372,11б,4
456124909,Ковайкова Юлия Егоровна,75,10г,2
305809411,Вермутский Валерий Петрович,447,9и,5
469074131,Россомахов Олег Юриевич,56,8в,2
946624616,Циплакова Екатерина Егоровна,471,9б,5
128132604,Квятцева Алла Никитична,138,11в,2
877071828,Выхухолева Лариса Василевна,384,8б,5
631621363,Целохов Андрей Вадимович,433,8и,5
66585647,Бендин Иван Яковлевич,71,8и,4
779463453,Лазученков Василий Алексеевич,381,7х,2
115385038,Скоропухов Михаил Василиевич,69,10и,3
743602994,Мухонкин Тарас Романович,126,9и,4
960454481,Камерцев Владимир Кириллович,303,7а,3
300199930,Сандрыкина Анна Олеговна,324,10т,2
717576031,Недбайлов Алексей Денисович,15,7т,2
487668703,Серпков Ярослав Георгиевич,380,10б,4
677225470,Хатшуклов Аркадий Николаевич,42,11т,4
381372878,Литвалиева Алиса Егоровна,10,11и,3
29139590,Енесина Лиза Валерьевна,293,9б,5
41295156,Пикальков Эдуард Алексиевич,21,8д,5
387225636,Сачинский Валентин Кириллович,125,10т,2
765450595,Тарзанова Евгения Аркадьевна,96,9д,2
436280746,Лапундин Юрий Игоревич,267,8и,5
618615168,Личева Лиза Михайловна,453,9б,3
529501987,Смароверов Яков Борисович,131,11в,4
310846535,Вереина Алла Василевна,295,10и,3
155868300,Погиблева Дарья Леонидовна,283,9в,5
337980655,Байнова Анастасия Вадимовна,363,7б,3
8536791,Шиловский Вячеслав Максимович,438,9и,4
746809004,Сыждиков Пётр Василиевич,494,11х,5
376875373,Каценова Алёна Эдуардовна,165,11т,2
566348622,Мужицких Ева Олеговна,348,8х,3
3148123,Плеснецов Степан Юрьевич,22,10а,2
70843363,Игумнова Алёна Сергеевна,114,9д,4
727178758,Хадаров Владимир Валериевич,278,11т,5
36972979,Ступакова Кира Ивановна,421,8и,3
53871191,Шоленинов Федор Максимович,286,11т,4
733105514,Гундаров Руслан Николаевич,158,9д,4
965213960,Гречишева Марина Андреевна,464,7д,2
705457725,Утилова Алена Андреевна,253,11д,3
827421084,Роткичева Алиса Максимовна,410,10а,4
211954363,Колтышева Марина Вадимовна,87,11г,4
979271903,Гурычева Лариса Валерьевна,489,9б,2
227284525,Горцева Кристина Никитична,246,8и,4
348116453,Кутурин Геннадий Денисович,197,9в,2
374174535,Стефанков Яков Евгеньевич,318,10г,3
506431823,Множина Людмила Василевна,90,8б,2
888943606,Семисалов Георгий Иванович,316,9в,3
399018946,Рогалов Альберт Валериевич,327,9б,2
936208718,Черетаева Анастасия Олеговна,341,9б,2
173560340,Радоминова Любовь Игоревна,25,9и,5
906783814,Шувырина Лиза Андреевна,395,9а,5
261942369,Калиженков Семён Алексеевич,401,11а,4
69816443,Старокашин Константин Петрович,309,10а,3
409763797,Малтоцов Аркадий Яковлевич,218,8а,3
571361965,Кузеванова Ева Егоровна,116,7д,2
229421734,Нурулина Алёна Егоровна,284,9х,2
404949548,Лератов Герасим Сергеевич,374,10а,4
606779094,Людин Руслан Аркадиевич,498,7и,3
970179229,Пурин Виктор Данилович,154,8и,5
208753382,Лютов Виктор Юрьевич,288,11г,2
136722035,Марюшкина Яна Федоровна,345,10д,5
116524962,Томилова Кристина Михайловна,492,11б,3
626931323,Дистерев Валерий Валериевич,24,7г,3
432571560,Дочкин Геннадий Алексиевич,52,11и,5
5860120,Иняхин Руслан Сергеевич,234,7и,5
506012463,Знайкова Раиса Егоровна,148,11х,3
579122503,Кашавцев Аркадий Леонидович,58,7а,4
520485319,Пятернина Кристина Андреевна,445,7и,2
227396768,Гусеева Карина Викторовна,263,9и,2
167567453,Кастева Яна Сергеевна,108,7и,2
341969377,Гришанин Тарас Павлович,113,10т,2
884143205,Грамоткин Илья Викторович,195,8д,5
473850910,Мелисин Геннадий Василиевич,465,10г,2
329197317,Цинина Светлана Яковлевна,105,11г,5
622935905,Петов Георгий Адамович,57,9а,2
333326885,Реева Валентина Максимовна,146,11и,5
383825600,Слесивых Мария Аркадьевна,35,7и,5
861748303,Афтаева Полина Ивановна,193,10д,5
117119373,Кривицкий Валентин Виталиевич,208,8х,5
993866201,Чубатов Константин Леонидович,279,11а,4
550288922,Партенков Геннадий Павлович,418,8х,3
969715748,Черушев Григорий Борисович,84,7г,4
630176570,Тютекин Георгий Тимофеевич,262,7а,2
139793399,Янкевский Вячеслав Адамович,167,11г,4
810274318,Сухручкина Клавдия Аркадьевна,177,7в,4
482268737,Конофалова Клара Петровна,95,11д,5
741668736,Лигасов Михаил Павлович,491,11г,4
980401202,Писарьков Альберт Игоревич,313,8в,4
763902729,Варов Кирилл Иванович,28,8а,5
837650283,Пурынов Евгений Петрович,244,9и,3
67786097,Супрутская Вероника Викторовна,187,9а,2
993115115,Скроцкая Алина Федоровна,127,8г,3
841403825,Барадулин Вадим Юрьевич,281,11х,3
768504890,Точилин Дмитрий Фёдорович,476,8а,2
640088106,Бикмуллин Руслан Валериевич,333,11т,2
113329127,Серпичев Василий Алексиевич,394,10х,5
819992943,Вострышев Яков Аркадиевич,343,8г,5
109418247,Грушчева София Евгеньевна,480,11в,None
162483589,Кулапов Александр Юрьевич,109,9б,5
193294553,Чибисенков Владислав Фёдорович,375,8х,3
703063,Утилов Роман Василиевич,254,9х,2
233049949,Татаурова Галина Федоровна,145,10т,4
122798890,Визавитина Наталия Леонидовна,101,10г,2
924483838,Мягченков Артём Денисович,115,7б,4
88588793,Брикова Инна Богдановна,256,9б,4
187263299,Наторкин Валентин Данилович,319,7и,2
242038559,Эштрекова Софья Алексеевна,76,9в,3
741847493,Кутаманова Кира Андреевна,182,10т,2
107684840,Кыштымова Евгения Эдуардовна,255,8в,5
38103357,Ккнязева Клавдия Дмитриевна,34,7б,5
762020659,Глаголина Алиса Никитична,249,9д,2
197199103,Рисина Раиса Валерьевна,451,10а,4
57829277,Ребров Алексей Георгиевич,289,8и,3
34333037,Вырысалова Александра Евгеньевна,39,11и,2
306091781,Гомольский Владимир Юриевич,314,11х,5
351574032,Швинова Марина Федоровна,271,8г,5
271735595,Рудковская Инна Дмитриевна,6,7т,3
717294939,Решеткина Дарья Василевна,408,10и,3
546357489,Евстихеев Игорь Василиевич,422,10х,5
192529913,Лазарина Алёна Федоровна,161,8б,3
4412863,Гляченков Григорий Николаевич,431,10а,5
941538136,Чардынцева Алина Вадимовна,135,10д,3
750949401,Скаредов Яков Иванович,337,9т,5
521625969,Юрицкий Эдуард Денисович,192,7д,3
81580240,Кравчина Светлана Аркадьевна,413,11г,5
725726931,Чмареткова Полина Вадимовна,449,10а,2
811824700,Углова Галина Романовна,260,9г,3
746591637,Згуровская Виктория Андреевна,220,9т,4
12237125,Секерский Станислав Сергеевич,235,10а,4
2298732,Жевайкин Евгений Адамович,86,11г,3
600300750,Коточигов Семён Игоревич,26,9д,5
133460261,Калонин Альберт Денисович,297,8б,2
363230583,Валягин Григорий Антонович,94,10в,4
304428284,Коцева Кристина Николаевна,412,9г,3
783863965,Голина Кристина Максимовна,3,7х,3
982977227,Батрамеев Анатолий Романович,354,9х,3
197625550,Чикмарев Валентин Валериевич,306,9и,5
729595143,Киницына Валерия Олеговна,202,7х,4
703293996,Числин Юрий Денисович,121,7в,2
413965103,Стебунова Юлия Романовна,358,9т,3
253428413,Кацов Павел Павлович,236,10г,5
522938672,Гоцев Тарас Викторович,41,8в,3
359654110,Мотовицкий Роман Аркадиевич,31,11и,5
631741772,Чурзина Клара Егоровна,308,10б,3
596107295,Щепалкина Валерия Сергеевна,134,9б,4
767438631,Утимишев Ярослав Игоревич,239,11а,3
311370251,Алуханов Кирилл Фёдорович,298,7т,2
610324305,Полунеев Валентин Валериевич,307,8и,2
711827239,Крупенова Наталия Андреевна,209,7в,5
8541557,Корнюшин Илья Юрьевич,44,10т,3
573741007,Паушева Виолетта Никитична,310,8г,4
297528600,Берзин Герасим Антонович,349,11т,5
401670343,Шулунова Алла Алексеевна,54,7д,4
61735037,Трепашова София Яковлевна,399,11а,2
283617884,Чумейкин Константин Антонович,8,8б,5
878388437,Польшиков Денис Игоревич,495,9и,2
418936485,Медоусова Жанна Романовна,252,7б,2
39482373,Акуратова Клавдия Андреевна,92,9г,5
734730231,Курмеева Елизавета Валерьевна,486,8а,5
809727978,Бадов Александр Аркадиевич,217,10г,3
616903165,Бакушин Эдуард Адамович,265,7б,5
375096596,Чебина Инна Сергеевна,273,10т,2
793669939,Подледнова Наталья Ивановна,112,11и,3
638168218,Садгеева Лиза Евгеньевна,460,11г,3
523534385,Акушин Борис Павлович,493,9т,2
703541217,Аришев Руслан Кириллович,379,10т,3
489733651,Гуслова Кристина Олеговна,389,9в,2
686079349,Глоточкина Оксана Аркадьевна,370,9и,5
747651104,Шапина Маргарита Романовна,163,8б,5
722414950,Дурылин Георгий Валериевич,261,11т,4
3687550,Болкисева Анна Викторовна,248,7х,4
134676390,Багапов Вячеслав Сергеевич,99,7д,4
744751282,Люцарева Яна Аркадьевна,376,11б,2
646120838,Боготынина София Егоровна,63,11б,5
709659112,Саюшкин Игорь Алексиевич,211,11х,5
38742046,Потешных Тамара Николаевна,468,11в,3
168011734,Незлина Жанна Василевна,426,8б,5
235735213,Федичева Вероника Кирилловна,37,7х,4
142955794,Пустынкин Вадим Антонович,388,10в,5
512497196,Аринакова Ирина Михайловна,150,8в,5
857388676,Обиралкова Мария Егоровна,294,11т,5
317390823,Аристарова Валентина Максимовна,443,11г,2
372640551,Яуров Герасим Юрьевич,38,9а,5
465491105,Духонькин Вячеслав Фёдорович,2,9в,4
81538698,Гвасков Евгений Михаилович,402,9в,5
825242130,Жабынина Галина Николаевна,185,7х,5
521116786,Шерюкова Виолетта Романовна,440,9б,4
61125926,Колокатов Пётр Евгеньевич,484,10в,3
456256341,Шайдуков Андрей Михаилович,317,9и,4
241782789,Смирнягина Дарья Игоревна,425,10в,4
328473563,Штырева Ева Олеговна,258,11и,2
756600511,Ашукин Вячеслав Михаилович,191,10т,4
778840590,Рубченкова Галина Алексеевна,190,9в,3
105105561,Зархин Иван Алексиевич,478,11и,5
690352109,Адиотов Дмитрий Павлович,156,7б,3
772970482,Тищенкова Раиса Валерьевна,79,7д,3
889450603,Лозеев Илья Петрович,205,10д,2
635278300,Кобяшов Герасим Михаилович,305,11т,2
818274293,Ронова Клавдия Валерьевна,107,7и,4
660507549,Стрижнов Алексей Евгеньевич,385,11г,3
753555008,Волынский Алексей Виталиевич,362,11т,5
862054905,Машонский Василий Данилович,23,9д,5
165171802,Буриева Зинаида Аркадьевна,104,11д,4
741245148,Борщина Алёна Ивановна,377,11а,5
716431815,Белчков Олег Иванович,275,10а,4
164802985,Остропиков Альберт Данилович,157,8г,2
855867780,Оргонова Любовь Максимовна,264,7б,4
333474173,Мальков Юрий Евгеньевич,228,7г,3
279467678,Свльхова Наталья Вадимовна,160,9т,5
701353362,Мякушков Герасим Леонидович,102,10т,3
181094969,Межуев Георгий Юриевич,355,8г,4
314207761,Чериншев Александр Сергеевич,439,8а,2
300903392,Муниров Алексей Андреевич,117,11г,3
449939839,Климухин Руслан Романович,269,10в,3
774187243,Дембская Екатерина Никитична,64,11б,4
950215364,Тюнеев Яков Фёдорович,417,10т,2
831907170,Трушитин Антон Данилович,168,9х,3
259115428,Балакишиев Роман Алексиевич,143,11х,5
60735103,Немтюрева Валерия Аркадьевна,12,10г,4
681798995,Складанова Клавдия Аркадьевна,257,9а,3
635976135,Заходина Полина Леонидовна,93,10д,4
334550957,Муринов Анатолий Борисович,171,11б,5
868782987,Гришалова Любовь Евгеньевна,301,8т,3
805843595,Ситчихин Станислав Георгиевич,247,8т,5
839602334,Просяных Георгий Василиевич,366,9в,2
204585442,Дзабиев Григорий Георгиевич,259,11д,5
892352595,Рыбаулин Григорий Алексеевич,140,11а,5
13238650,Тупиева Екатерина Ивановна,400,7д,2
77458425,Куверчева Алена Ивановна,170,10д,3
22918992,Цаблинова Виктория Богдановна,342,9г,4
415986393,Синенков Григорий Леонидович,230,9в,5
356957034,Лизункин Артур Олегович,4,11в,5
116473199,Славущева Александра Эдуардовна,81,8а,5
801482868,Шахвердов Дмитрий Антонович,132,11б,2
453658113,Рапацкая Ольга Ивановна,223,10г,3
793003776,Сторокожев Виталий Аркадиевич,159,9б,2
94062959,Половодов Кирилл Николаевич,18,8т,5
367334628,Халтанова Алена Дмитриевна,49,8б,3
73608697,Заложнев Роман Фёдорович,448,8в,4
924414785,Рыжих Кристина Аркадьевна,213,7а,4
570923936,Буров Руслан Игоревич,405,11и,5
547593759,Гачков Виталий Евгеньевич,277,9т,4
778617583,Кадилов Геннадий Борисович,225,10в,3
212816678,Гликина Алёна Эдуардовна,454,9б,3
899017889,Ичкинина Любовь Андреевна,299,8г,5
96040944,Мозшорина Кира Дмитриевна,65,8б,3
738236142,Брижеватов Константин Борисович,152,11т,2
499426661,Бучеров Тарас Викторович,429,10д,4
210564188,Мисютина Валерия Эдуардовна,368,9г,2
187747405,Льянов Федор Вадимович,328,8а,4
428511432,Щуркин Георгий Яковлевич,180,8в,4
314076331,Акулин Федор Адамович,241,10г,4
40623861,Волженкова Екатерина Ивановна,233,9д,4
511765390,Махометова София Викторовна,424,8и,3
723864935,Зызлов Геннадий Антонович,274,7в,3
788415013,Девляшова Кира Олеговна,51,11д,5
956955818,Яковкина Алена Никитична,320,9т,5
557324196,Бузулев Вадим Николаевич,331,10д,3
984514766,Ганельский Юрий Юриевич,474,9д,3
122814061,Шкапрова Ева Ивановна,371,7б,5
856050795,Чичирин Владимир Георгиевич,11,10а,4
82649035,Шилова Надежда Викторовна,124,9б,2
14984928,Коваев Руслан Михаилович,487,9т,3
469172744,Саверина Надежда Андреевна,407,11б,4
872425010,Тишанкин Олег Адамович,334,9д,3
638015613,Широпаев Валерий Сергеевич,406,9б,2
651720317,Щепанин Олег Адамович,226,7а,3
309850989,Оплетин Владислав Аркадиевич,361,10х,4
631071637,Оденова Карина Андреевна,409,8и,4
307745139,Семагин Альберт Андреевич,456,10х,4
955433464,Черданцева Анастасия Олеговна,128,8х,3
342814867,Лонцова Елизавета Эдуардовна,224,7х,3
844160356,Сарсекеева Алёна Никитична,462,11и,4
296705767,Аковецкий Антон Евгеньевич,500,8б,4
999698075,Аратский Станислав Борисович,351,9и,2
230908547,Чужриков Пётр Денисович,200,9в,3
869979487,Никитшин Алексей Кириллович,111,11и,3
816024255,Симендяев Василий Алексиевич,45,8д,4
537858694,Ошитков Максим Сергеевич,151,10г,4
82137598,Юрасов Евгений Романович,338,9и,3
47809758,Головяшин Павел Юриевич,179,7г,5
570476370,Манжурина Екатерина Сергеевна,219,7т,3
501320288,Никурашин Олег Евгеньевич,291,11х,2
196290867,Бехтерев Федор Вадимович,137,9х,3
708331037,Годлевская Катерина Дмитриевна,403,11г,3
321146447,Акиярова Алина Эдуардовна,9,11а,4
514274164,Милина Алена Петровна,359,8г,3
199826025,Воловин Борис Викторович,350,7т,2
213637783,Туморина Ксения Федоровна,133,8б,5
517431579,Желейков Вячеслав Яковлевич,199,8г,3
584997861,Шишорнина Екатерина Алексеевна,183,8т,3
795199289,Юумогулова Виолетта Игоревна,311,10х,3
225871318,Рецков Денис Денисович,85,10д,2
434242578,Химунина Елизавета Ивановна,392,7д,2
37184692,Кобрянов Александр Алексиевич,455,7т,2
886314396,Бирылов Тарас Данилович,243,11а,3
825979429,Туфатулин Ярослав Леонидович,485,8х,4
862995096,Долбишев Николай Аркадиевич,292,10б,5
181533066,Махтумова Алёна Эдуардовна,186,10б,4
710347419,Нарзаркин Алексей Романович,423,10т,2
137108004,Куранина Алена Леонидовна,196,9б,4
671224718,Ситюков Аркадий Евгеньевич,32,10в,3
85963143,Мизюрова Алиса Никитична,176,7г,4
853774856,Пандурова Алиса Дмитриевна,130,9б,2
797265409,Жилейкин Борис Тимофеевич,91,7в,2
590190442,Корпункова Виолетта Сергеевна,83,11а,3
337984039,Пашохонова Анастасия Федоровна,467,9в,4
794039818,Сузальцева Тамара Михайловна,357,8х,4
629267332,Чиличкина Светлана Яковлевна,5,8в,5
344797224,Шантыкова Карина Максимовна,198,10д,3
570809202,Недосекин Владислав Яковлевич,457,10а,4
721902585,Максимкин Федор Фёдорович,172,10г,2
649395440,Матбиюшина Виктория Игоревна,237,8д,2
442223482,Шишкунов Герасим Юрьевич,110,8т,4
367472787,Сухинин Георгий Алексиевич,475,10х,4
416084342,Бисеева Полина Романовна,48,7д,5
588689569,Жукулов Михаил Денисович,60,11г,3
347946729,Тоняев Герасим Петрович,378,9т,5
219058364,Шушенкова Алёна Олеговна,36,7и,2
459218555,Разроев Дмитрий Павлович,59,9а,2
173061823,Баззаев Анатолий Данилович,339,9д,2
160908578,Цекова Алла Олеговна,50,8д,2
69568550,Аборонова Алиса Алексеевна,444,7г,5
122811006,Ягловская Ева Олеговна,181,8в,4
636815158,Шароварова Яна Романовна,175,8а,4
8349784,Общев Яков Викторович,466,8а,4
746740711,Ойзерская Катерина Эдуардовна,120,7х,2
395150541,Прусский Ярослав Иванович,479,11б,2
466896157,Лабинов Павел Алексеевич,272,7б,5
292422045,Покровов Эдуард Павлович,312,8б,2
886030309,Мачехин Эдуард Данилович,19,7д,3
370989485,Кодорская Раиса Ивановна,27,11б,3
687220702,Кондраева Марина Ивановна,469,9д,3
42164607,Бульенков Валентин Иванович,136,10т,4
475008700,Тагакова Вероника Яковлевна,393,8т,4
569068349,Гершанова Любовь Евгеньевна,383,11т,5
361708431,Салина Алена Егоровна,73,11в,5
347748228,Фрумова Зинаида Аркадьевна,78,8а,4
890910981,Хорняков Борис Борисович,13,8г,2
434730702,Гдагазина Лиза Василевна,212,9т,5
841856114,Агаршев Ярослав Михаилович,276,9т,2
25286519,Корюшин Пётр Антонович,326,8х,2
549368669,Калаев Пётр Алексиевич,68,8а,3
586544027,Ккаталкина Виолетта Егоровна,53,7б,2
208132501,Рачнов Герасим Алексеевич,103,10а,5
154777609,Миндубаева Людмила Леонидовна,477,11и,2
776895006,Агафьева Вера Ивановна,352,11х,3
750610950,Житин Эдуард Адамович,481,9а,5
